chr3	100627108	100639991	24.525
chr3	100584936	100599885	0.145
chr3	50934867	50959140	41.34
chr3	169849631	169894267	5.885
chr3	169662007	169854080	20.16
chr3	27612064	27635185	0
chr3	196651754	196752476	0.2
chr3	143494812	143511720	58.2
chr3	53497341	53616970	33.455
chr3	41072974	41102403	30.005
chr3	24356999	24416934	7.925
chr3	24415802	24475252	13.985
chr3	65438549	65534810	46.195
chr3	46129989	46146688	4.6
chr3	50155045	50189075	4.385
chr3	117287120	117715971	0.5
chr3	92245974	92401383	34
chr3	92084987	92134803	63.545
chr3	92197498	92246166	23.92
chr3	911736	990053	12.825
chr3	99238829	99306809	0.065
chr3	64269830	64284704	32.92
chr3	17577198	17607972	49.875
chr3	2691187	2741309	80.625
chr3	11393150	11429564	0
chr3	150824627	150861504	0.065
chr3	121325367	121341104	0.085
chr3	43112629	43566001	1.635
chr3	1815793	2233243	17.745
chr3	38869859	38921770	14.205
chr3	48103357	48123601	12.365
chr3	150800403	150805118	0.03
chr3	8940361	8949761	46.02
chr3	117897813	118117340	9.135
chr3	72129238	72147862	2.99
chr3	8113184	8262687	5.14
chr3	90004871	90019890	26.815
chr3	201700267	201782112	13.195
chr3	201182872	201229428	3.09
chr3	201116154	201176687	9.1
chr3	187464230	187565760	6.705
chr3	37231631	37253403	18.305
chr3	50088919	50119021	139.005
chr3	17296794	17413528	1.415
chr3	17497088	17570573	13.355
chr3	127588386	127591700	111.06
chr3	28364356	28404049	9.54
chr3	28346633	28357527	66.065
chr3	129555214	129606676	9.01
chr3	33007986	33080996	290.675
chr3	15778275	15853232	0.045
chr3	2794970	2805423	147.58
chr3	23019443	23083689	97.925
chr3	49940007	50100045	59.295
chr3	3860315	3894891	7.41
chr3	21468910	21501669	21.445
chr3	93232340	93361123	15.845
chr3	35754566	35758079	0.885
chr3	35774532	35788822	4.975
chr3	23581014	23596316	107.245
chr3	95583499	95596516	0.535
chr3	110424687	110476641	0
chr3	50341110	50345732	1.955
chr3	20615667	20777038	0.115
chr3	25003694	25016420	0.135
chr3	96120220	96322147	37.66
chr3	116953238	117230176	17.785
chr3	47117703	47189422	108.5
chr3	44248390	44268141	0.01
chr3	93424486	93574730	0.105
chr3	11111301	11123086	30.98
chr3	7225342	7234517	36.165
chr3	2852730	2858170	0
chr3	18831959	18868230	53.345
chr3	26667068	26995239	25.17
chr3	119468422	119471396	505.285
chr3	109560209	109688719	14.34
chr3	27181157	27185232	15.495
chr3	102473128	102478922	48.04
chr3	5440917	5468982	31.85
chr3	43640389	43661922	0.445
chr3	11370365	11832198	0.285
chr3	34980512	35009743	27.69
chr3	47661249	47706030	47.075
chr3	20610243	20797581	1.905
chr3	20806429	20849665	6.195
chr3	57428187	57447420	65.97
chr3	2328615	2355095	22.595
chr3	35104112	35116341	1.165
chr3	48026167	48038030	0.4
chr3	107044705	107161811	8.84
chr3	11758159	11775772	19.985
chr3	3725054	3880713	58.03
chr3	58301228	58328795	0
chr3	58269855	58280935	0
chr3	95297676	95324532	0.025
chr3	75652000	75710985	19.69
chr3	74421678	74425755	26.31
chr3	87345664	87399794	4.985
chr3	87401696	87480435	0.615
chr3	104940943	105115019	23.25
chr3	75842602	75888926	41.875
chr3	981444	986979	3.47
chr3	82169986	82247754	17.44
chr3	3339261	3379222	25.175
chr3	77042474	77327094	54.235
chr3	76992598	77027195	41.555
chr3	30472658	30523567	0.165
chr3	50094737	50112152	24.225
chr3	50055968	50090481	4.925
chr3	24149173	24216255	23.37
chr3	120426148	120469365	62.59
chr3	44372180	44389649	3.755
